time,energy,datetime,date,year,month,day,hour,minute,runningdate
1640995200,0.11,2022-01-01T00:00:00Z,2022-01-01,2022,1,1,0,0,101
1640997000,0.12,2022-01-01T00:30:00Z,2022-01-01,2022,1,1,0,30,101
1640998800,0.1,2022-01-01T01:00:00Z,2022-01-01,2022,1,1,1,0,101
1641000600,0.12,2022-01-01T01:30:00Z,2022-01-01,2022,1,1,1,30,101
1641002400,0.1,2022-01-01T02:00:00Z,2022-01-01,2022,1,1,2,0,101
1641004200,0.13,2022-01-01T02:30:00Z,2022-01-01,2022,1,1,2,30,101
1641006000,0.09,2022-01-01T03:00:00Z,2022-01-01,2022,1,1,3,0,101
1641007800,0.14,2022-01-01T03:30:00Z,2022-01-01,2022,1,1,3,30,101
1641009600,0.09,2022-01-01T04:00:00Z,2022-01-01,2022,1,1,4,0,101
1641011400,0.14,2022-01-01T04:30:00Z,2022-01-01,2022,1,1,4,30,101
1641013200,0.1,2022-01-01T05:00:00Z,2022-01-01,2022,1,1,5,0,101
1641015000,0.12,2022-01-01T05:30:00Z,2022-01-01,2022,1,1,5,30,101
1641016800,0.12,2022-01-01T06:00:00Z,2022-01-01,2022,1,1,6,0,101
1641018600,0.11,2022-01-01T06:30:00Z,2022-01-01,2022,1,1,6,30,101
1641020400,0.12,2022-01-01T07:00:00Z,2022-01-01,2022,1,1,7,0,101
1641022200,0.11,2022-01-01T07:30:00Z,2022-01-01,2022,1,1,7,30,101
1641024000,0.12,2022-01-01T08:00:00Z,2022-01-01,2022,1,1,8,0,101
1641025800,0.1,2022-01-01T08:30:00Z,2022-01-01,2022,1,1,8,30,101
1641027600,0.13,2022-01-01T09:00:00Z,2022-01-01,2022,1,1,9,0,101
1641029400,0.09,2022-01-01T09:30:00Z,2022-01-01,2022,1,1,9,30,101
1641031200,0.14,2022-01-01T10:00:00Z,2022-01-01,2022,1,1,10,0,101
1641033000,0.09,2022-01-01T10:30:00Z,2022-01-01,2022,1,1,10,30,101
1641034800,0.13,2022-01-01T11:00:00Z,2022-01-01,2022,1,1,11,0,101
1641036600,0.1,2022-01-01T11:30:00Z,2022-01-01,2022,1,1,11,30,101
1641038400,0.13,2022-01-01T12:00:00Z,2022-01-01,2022,1,1,12,0,101
1641040200,0.1,2022-01-01T12:30:00Z,2022-01-01,2022,1,1,12,30,101
1641042000,0.12,2022-01-01T13:00:00Z,2022-01-01,2022,1,1,13,0,101
1641043800,0.11,2022-01-01T13:30:00Z,2022-01-01,2022,1,1,13,30,101
1641045600,0.11,2022-01-01T14:00:00Z,2022-01-01,2022,1,1,14,0,101
1641047400,0.12,2022-01-01T14:30:00Z,2022-01-01,2022,1,1,14,30,101
1641049200,0.11,2022-01-01T15:00:00Z,2022-01-01,2022,1,1,15,0,101
1641051000,0.12,2022-01-01T15:30:00Z,2022-01-01,2022,1,1,15,30,101
1641052800,0.1,2022-01-01T16:00:00Z,2022-01-01,2022,1,1,16,0,101
1641054600,0.13,2022-01-01T16:30:00Z,2022-01-01,2022,1,1,16,30,101
1641056400,0.09,2022-01-01T17:00:00Z,2022-01-01,2022,1,1,17,0,101
1641058200,0.14,2022-01-01T17:30:00Z,2022-01-01,2022,1,1,17,30,101
1641060000,0.09,2022-01-01T18:00:00Z,2022-01-01,2022,1,1,18,0,101
1641061800,0.14,2022-01-01T18:30:00Z,2022-01-01,2022,1,1,18,30,101
1641063600,0.09,2022-01-01T19:00:00Z,2022-01-01,2022,1,1,19,0,101
1641065400,0.13,2022-01-01T19:30:00Z,2022-01-01,2022,1,1,19,30,101
1641067200,0.1,2022-01-01T20:00:00Z,2022-01-01,2022,1,1,20,0,101
1641069000,0.12,2022-01-01T20:30:00Z,2022-01-01,2022,1,1,20,30,101
1641070800,0.11,2022-01-01T21:00:00Z,2022-01-01,2022,1,1,21,0,101
1641072600,0.12,2022-01-01T21:30:00Z,2022-01-01,2022,1,1,21,30,101
1641074400,0.12,2022-01-01T22:00:00Z,2022-01-01,2022,1,1,22,0,101
1641076200,0.1,2022-01-01T22:30:00Z,2022-01-01,2022,1,1,22,30,101
1641078000,0.12,2022-01-01T23:00:00Z,2022-01-01,2022,1,1,23,0,101
1641079800,0.11,2022-01-01T23:30:00Z,2022-01-01,2022,1,1,23,30,101
1641081600,0.12,2022-01-02T00:00:00Z,2022-01-02,2022,1,2,0,0,102
1641083400,0.11,2022-01-02T00:30:00Z,2022-01-02,2022,1,2,0,30,102
1641085200,0.13,2022-01-02T01:00:00Z,2022-01-02,2022,1,2,1,0,102
1641087000,0.1,2022-01-02T01:30:00Z,2022-01-02,2022,1,2,1,30,102
1641088800,0.13,2022-01-02T02:00:00Z,2022-01-02,2022,1,2,2,0,102
1641090600,0.09,2022-01-02T02:30:00Z,2022-01-02,2022,1,2,2,30,102
1641092400,0.15,2022-01-02T03:00:00Z,2022-01-02,2022,1,2,3,0,102
1641094200,0.09,2022-01-02T03:30:00Z,2022-01-02,2022,1,2,3,30,102
1641096000,0.14,2022-01-02T04:00:00Z,2022-01-02,2022,1,2,4,0,102
1641097800,0.09,2022-01-02T04:30:00Z,2022-01-02,2022,1,2,4,30,102
1641099600,0.13,2022-01-02T05:00:00Z,2022-01-02,2022,1,2,5,0,102
1641101400,0.1,2022-01-02T05:30:00Z,2022-01-02,2022,1,2,5,30,102
1641103200,0.13,2022-01-02T06:00:00Z,2022-01-02,2022,1,2,6,0,102
1641105000,0.1,2022-01-02T06:30:00Z,2022-01-02,2022,1,2,6,30,102
1641106800,0.13,2022-01-02T07:00:00Z,2022-01-02,2022,1,2,7,0,102
1641108600,0.1,2022-01-02T07:30:00Z,2022-01-02,2022,1,2,7,30,102
1641110400,0.13,2022-01-02T08:00:00Z,2022-01-02,2022,1,2,8,0,102
1641112200,0.1,2022-01-02T08:30:00Z,2022-01-02,2022,1,2,8,30,102
1641114000,0.13,2022-01-02T09:00:00Z,2022-01-02,2022,1,2,9,0,102
1641115800,0.11,2022-01-02T09:30:00Z,2022-01-02,2022,1,2,9,30,102
1641117600,0.11,2022-01-02T10:00:00Z,2022-01-02,2022,1,2,10,0,102
